edge,status,seconds,clauses,returncode
107:113,NOT_VERIFIED,1.951600,13919,1
107:126,NOT_VERIFIED,1.654593,13919,1
107:127,NOT_VERIFIED,1.671884,13919,1
107:264,NOT_VERIFIED,0.168965,13919,1
107:381,NOT_VERIFIED,0.403417,13919,1
108:5,NOT_VERIFIED,1.626219,13919,1
108:34,NOT_VERIFIED,1.908459,13919,1
108:48,NOT_VERIFIED,1.727090,13919,1
108:84,NOT_VERIFIED,2.048414,13919,1
108:86,NOT_VERIFIED,1.532957,13919,1
108:116,NOT_VERIFIED,1.775088,13919,1
108:118,NOT_VERIFIED,1.938565,13919,1
108:130,NOT_VERIFIED,1.634008,13919,1
108:131,NOT_VERIFIED,1.409585,13919,1
108:262,NOT_VERIFIED,1.831248,13919,1
108:314,NOT_VERIFIED,0.921371,13919,1
109:12,NOT_VERIFIED,1.738254,13919,1
109:22,NOT_VERIFIED,2.343131,13919,1
109:117,NOT_VERIFIED,1.934008,13919,1
109:183,NOT_VERIFIED,1.973027,13919,1
109:186,NOT_VERIFIED,1.697127,13919,1
109:218,NOT_VERIFIED,1.916100,13919,1
109:263,NOT_VERIFIED,1.914371,13919,1
109:276,NOT_VERIFIED,1.995429,13919,1
109:288,NOT_VERIFIED,2.031954,13919,1
109:290,NOT_VERIFIED,2.301050,13919,1
110:5,NOT_VERIFIED,1.750357,13919,1
110:14,NOT_VERIFIED,2.265916,13919,1
110:43,NOT_VERIFIED,1.777166,13919,1
110:50,NOT_VERIFIED,1.983305,13919,1
110:95,NOT_VERIFIED,1.915324,13919,1
110:115,NOT_VERIFIED,1.992022,13919,1
110:116,VERIFIED,2.452932,13919,0
110:184,NOT_VERIFIED,1.630560,13919,1
110:219,NOT_VERIFIED,1.939851,13919,1
110:275,NOT_VERIFIED,2.106094,13919,1
110:294,NOT_VERIFIED,1.802506,13919,1
110:306,VERIFIED,2.243854,13919,0
111:13,NOT_VERIFIED,1.834743,13919,1
111:52,NOT_VERIFIED,2.193590,13919,1
111:96,NOT_VERIFIED,2.009650,13919,1
111:115,NOT_VERIFIED,1.929195,13919,1
111:120,NOT_VERIFIED,1.935303,13919,1
111:185,NOT_VERIFIED,1.763876,13919,1
111:220,NOT_VERIFIED,1.814429,13919,1
111:264,NOT_VERIFIED,0.180478,13919,1
111:277,NOT_VERIFIED,2.202783,13919,1
111:283,NOT_VERIFIED,1.811406,13919,1
111:291,NOT_VERIFIED,2.085377,13919,1
111:307,NOT_VERIFIED,0.184373,13919,1
112:8,NOT_VERIFIED,1.599035,13919,1
112:42,NOT_VERIFIED,1.813247,13919,1
112:97,NOT_VERIFIED,2.085895,13919,1
112:119,NOT_VERIFIED,2.107253,13919,1
112:120,NOT_VERIFIED,1.741954,13919,1
112:187,NOT_VERIFIED,1.708841,13919,1
112:190,NOT_VERIFIED,1.246103,13919,1
112:221,NOT_VERIFIED,2.235383,13919,1
112:265,NOT_VERIFIED,1.908602,13919,1
112:280,NOT_VERIFIED,2.097921,13919,1
112:287,NOT_VERIFIED,1.883609,13919,1
112:308,NOT_VERIFIED,1.866839,13919,1
113:14,NOT_VERIFIED,2.275404,13919,1
113:21,NOT_VERIFIED,1.935006,13919,1
113:43,VERIFIED,1.934663,13919,0
113:119,NOT_VERIFIED,2.250465,13919,1
113:189,NOT_VERIFIED,1.930204,13919,1
113:222,NOT_VERIFIED,1.830733,13919,1
113:278,NOT_VERIFIED,2.062916,13919,1
113:290,NOT_VERIFIED,2.001318,13919,1
114:9,NOT_VERIFIED,0.182641,13919,1
114:20,NOT_VERIFIED,1.822120,13919,1
114:117,NOT_VERIFIED,1.638259,13919,1
114:118,NOT_VERIFIED,1.938934,13919,1
114:191,NOT_VERIFIED,0.180903,13919,1
114:223,NOT_VERIFIED,1.860831,13919,1
114:262,NOT_VERIFIED,1.929547,13919,1
114:279,NOT_VERIFIED,1.890965,13919,1
114:281,NOT_VERIFIED,1.665897,13919,1
114:286,NOT_VERIFIED,1.848745,13919,1
115:26,NOT_VERIFIED,1.958884,13919,1
115:45,NOT_VERIFIED,2.053704,13919,1
115:199,NOT_VERIFIED,1.978053,13919,1
115:202,NOT_VERIFIED,1.689321,13919,1
115:226,NOT_VERIFIED,2.029786,13919,1
115:263,NOT_VERIFIED,1.830090,13919,1
115:277,NOT_VERIFIED,1.673353,13919,1
115:290,NOT_VERIFIED,1.873997,13919,1
115:306,NOT_VERIFIED,2.097629,13919,1
116:25,NOT_VERIFIED,0.175278,13919,1
116:34,NOT_VERIFIED,2.011377,13919,1
116:44,NOT_VERIFIED,0.345892,13919,1
116:201,NOT_VERIFIED,0.333625,13919,1
116:227,VERIFIED,2.029565,13919,0
116:275,NOT_VERIFIED,0.188145,13919,1
116:287,NOT_VERIFIED,2.170132,13919,1
117:27,NOT_VERIFIED,2.093752,13919,1
117:33,NOT_VERIFIED,1.632399,13919,1
117:203,NOT_VERIFIED,0.158167,13919,1
117:228,NOT_VERIFIED,1.765986,13919,1
117:264,NOT_VERIFIED,1.565630,13919,1
117:276,NOT_VERIFIED,2.024957,13919,1
117:281,NOT_VERIFIED,1.964663,13919,1
117:292,NOT_VERIFIED,2.119518,13919,1
118:23,NOT_VERIFIED,1.865614,13919,1
118:204,NOT_VERIFIED,1.871142,13919,1
118:207,NOT_VERIFIED,1.963953,13919,1
118:229,NOT_VERIFIED,1.801434,13919,1
118:265,NOT_VERIFIED,1.776104,13919,1
118:279,NOT_VERIFIED,1.855429,13919,1
118:287,NOT_VERIFIED,1.952304,13919,1
118:293,VERIFIED,2.348924,13919,0
119:5,NOT_VERIFIED,1.985648,13919,1
119:25,NOT_VERIFIED,2.035828,13919,1
119:44,NOT_VERIFIED,1.830865,13919,1
119:54,NOT_VERIFIED,1.566971,13919,1
119:205,NOT_VERIFIED,1.583776,13919,1
119:230,NOT_VERIFIED,1.613831,13919,1
119:278,NOT_VERIFIED,2.487334,13919,1
119:294,NOT_VERIFIED,1.850866,13919,1
119:308,NOT_VERIFIED,2.227475,13919,1
120:24,NOT_VERIFIED,1.856076,13919,1
120:28,NOT_VERIFIED,1.739099,13919,1
120:53,NOT_VERIFIED,2.173934,13919,1
120:206,NOT_VERIFIED,0.233790,13919,1
120:231,NOT_VERIFIED,1.616739,13919,1
120:262,NOT_VERIFIED,1.779004,13919,1
120:280,NOT_VERIFIED,1.797338,13919,1
120:283,NOT_VERIFIED,2.265850,13919,1
120:284,NOT_VERIFIED,1.762322,13919,1
120:307,NOT_VERIFIED,1.963347,13919,1
121:4,NOT_VERIFIED,1.681692,13919,1
121:46,NOT_VERIFIED,1.627358,13919,1
121:60,NOT_VERIFIED,1.393574,13919,1
121:68,NOT_VERIFIED,1.779697,13919,1
121:128,NOT_VERIFIED,2.194235,13919,1
121:263,NOT_VERIFIED,1.687468,13919,1
121:277,NOT_VERIFIED,1.994719,13919,1
122:5,NOT_VERIFIED,1.217996,13919,1
122:58,NOT_VERIFIED,1.247440,13919,1
122:62,NOT_VERIFIED,0.613741,13919,1
122:69,NOT_VERIFIED,1.183812,13919,1
122:130,NOT_VERIFIED,0.200424,13919,1
122:133,NOT_VERIFIED,1.644187,13919,1
122:137,NOT_VERIFIED,1.082956,13919,1
122:185,NOT_VERIFIED,0.213301,13919,1
122:267,NOT_VERIFIED,0.142547,13919,1
122:273,NOT_VERIFIED,1.007871,13919,1
123:51,NOT_VERIFIED,1.247319,13919,1
123:64,NOT_VERIFIED,0.308775,13919,1
123:65,NOT_VERIFIED,1.200972,13919,1
123:67,NOT_VERIFIED,0.983412,13919,1
123:128,NOT_VERIFIED,1.683406,13919,1
123:131,NOT_VERIFIED,0.874331,13919,1
123:135,NOT_VERIFIED,1.210069,13919,1
123:186,NOT_VERIFIED,0.195923,13919,1
123:262,NOT_VERIFIED,1.767964,13919,1
123:267,NOT_VERIFIED,1.067621,13919,1
123:280,NOT_VERIFIED,1.600309,13919,1
124:3,NOT_VERIFIED,1.828784,13919,1
124:46,NOT_VERIFIED,1.772714,13919,1
124:52,NOT_VERIFIED,2.118771,13919,1
124:60,NOT_VERIFIED,0.191315,13919,1
124:70,NOT_VERIFIED,0.432367,13919,1
124:132,NOT_VERIFIED,1.728231,13919,1
124:134,NOT_VERIFIED,2.247346,13919,1
124:139,NOT_VERIFIED,1.742474,13919,1
124:188,NOT_VERIFIED,0.173408,13919,1
