kind,candidate,vertices,edges,variables,clauses,status,seconds
vertex,410,516,2565,2064,13872,SAT,0.022004
vertex,411,516,2565,2064,13872,SAT,0.158771
vertex,412,516,2566,2064,13876,SAT,0.118014
vertex,413,516,2571,2064,13896,SAT,0.638294
vertex,414,516,2566,2064,13876,SAT,0.120851
vertex,415,516,2567,2064,13880,SAT,0.095055
vertex,416,516,2565,2064,13872,SAT,0.312253
vertex,417,516,2566,2064,13876,SAT,0.236574
vertex,418,516,2566,2064,13876,SAT,0.130274
vertex,419,516,2568,2064,13884,SAT,0.130605
vertex,420,516,2573,2064,13904,SAT,0.526252
vertex,421,516,2573,2064,13904,SAT,0.581413
vertex,422,516,2573,2064,13904,SAT,0.205826
vertex,423,516,2573,2064,13904,SAT,0.017201
vertex,424,516,2573,2064,13904,SAT,0.038831
vertex,425,516,2574,2064,13908,SAT,0.050004
vertex,426,516,2572,2064,13900,SAT,0.333539
vertex,427,516,2573,2064,13904,TIMEOUT,2.062582
vertex,428,516,2565,2064,13872,SAT,0.011783
vertex,429,516,2571,2064,13896,SAT,0.103885
vertex,430,516,2573,2064,13904,SAT,0.041103
vertex,431,516,2571,2064,13896,SAT,0.381119
vertex,432,516,2570,2064,13892,SAT,0.028066
vertex,433,516,2567,2064,13880,SAT,0.136623
vertex,434,516,2573,2064,13904,SAT,0.558262
vertex,435,516,2571,2064,13896,SAT,0.051791
vertex,436,516,2571,2064,13896,SAT,0.014056
vertex,437,516,2573,2064,13904,SAT,0.405182
vertex,438,516,2566,2064,13876,SAT,0.016154
vertex,439,516,2571,2064,13896,SAT,0.111770
vertex,440,516,2570,2064,13892,SAT,0.189384
vertex,441,516,2572,2064,13900,SAT,0.113875
vertex,442,516,2574,2064,13908,SAT,0.012974
vertex,443,516,2567,2064,13880,SAT,0.104190
vertex,444,516,2572,2064,13900,SAT,0.051352
vertex,445,516,2570,2064,13892,SAT,0.100898
vertex,446,516,2572,2064,13900,SAT,0.058150
vertex,447,516,2574,2064,13908,SAT,0.044154
vertex,448,516,2564,2064,13868,SAT,0.018805
vertex,449,516,2573,2064,13904,SAT,0.049122
vertex,450,516,2570,2064,13892,SAT,0.074711
vertex,451,516,2570,2064,13892,SAT,0.095052
vertex,452,516,2572,2064,13900,SAT,0.315981
vertex,453,516,2567,2064,13880,SAT,0.033824
vertex,454,516,2570,2064,13892,SAT,0.116790
vertex,455,516,2572,2064,13900,SAT,0.260282
vertex,456,516,2573,2064,13904,SAT,0.386229
vertex,457,516,2570,2064,13892,SAT,0.024796
vertex,458,516,2567,2064,13880,SAT,0.415856
vertex,459,516,2571,2064,13896,SAT,0.011007
vertex,460,516,2573,2064,13904,SAT,0.350193
vertex,461,516,2574,2064,13908,TIMEOUT,2.063983
vertex,462,516,2566,2064,13876,SAT,0.013637
vertex,463,516,2573,2064,13904,SAT,0.419017
vertex,464,516,2573,2064,13904,SAT,0.022891
vertex,465,516,2566,2064,13876,SAT,0.089486
vertex,466,516,2571,2064,13896,SAT,0.237947
vertex,467,516,2570,2064,13892,SAT,0.315412
vertex,468,516,2573,2064,13904,SAT,0.329472
vertex,469,516,2573,2064,13904,SAT,0.142364
vertex,470,516,2564,2064,13868,SAT,0.074589
vertex,471,516,2573,2064,13904,SAT,0.903986
vertex,472,516,2566,2064,13876,SAT,0.027728
vertex,473,516,2569,2064,13888,SAT,0.107829
vertex,474,516,2572,2064,13900,SAT,0.275729
vertex,475,516,2574,2064,13908,SAT,0.535995
vertex,476,516,2564,2064,13868,SAT,0.009993
vertex,477,516,2572,2064,13900,SAT,1.042742
